Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",1206,3,1uF,
"C10, C2",1206,2,10uF,
"C5, C6",1206,2,22uF,
"C7, C8, C9",1206,3,100nF,
D1,1206,1,LED,
D2,D_SOD-123,1,1N4148W,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J4, J5",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07,
L1,IND-SMD_L5.7-W5.2,1,22uH,
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
R1,1206,1,100,
"R10, R2, R9",1206,3,10k,
"R18, R5, R6",1206,3,220,
"R3, R4",1206,2,5.1k,
R7,1206,1,910k,
R8,1206,1,47k,
SW1,SW-TH_EC11XXXXXXXX,1,EC11E09244BS,C470742
SW2,KEY-SMD_L4.0-W3.0-LS4.9-1,1,HX 3X4X2-2P-1.6N TACTILE SWITCH,C49234124
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,MCP1700T-3302E/TT,C39051
U3,SOT-23-6,1,MT3608,
U4,SOT-23-6,1,USBLC6-2SC6,
U5,OLED-TH_L27.8-W27.2-P2.54_C9900033791,1,HS96L03W2C03,C5248080
